:ID,:LABEL,entity_type,canonical_name,normalized_name,aliases,source_types,source_records:int,properties_json
Disease::活动性结核病,Disease,Disease,活动性结核病,活动性结核病,活动性结核病,pdf,2,{}
Disease::活动性继发进展型多发性硬化症,Disease,Disease,活动性继发进展型多发性硬化症,活动性继发进展型多发性硬化症,活动性继发进展型多发性硬化症,pdf,1,{}
Disease::活动性风湿,Disease,Disease,活动性风湿,活动性风湿,活动性风湿,structured,1,{}
Disease::活动性风湿病,Disease,Disease,活动性风湿病,活动性风湿病,活动性风湿病,structured,5,{}
Disease::活动期肝病,Disease,Disease,活动期肝病,活动期肝病,活动期肝病,pdf,1,{}
Disease::流产,Disease,Disease,流产,流产,流产,structured,1,{}
Disease::流产后出血,Disease,Disease,流产后出血,流产后出血,流产后出血,structured,1,{}
Disease::流感,Disease,Disease,流感,流感,流感,pdf|structured|unstructured,11,{}
Disease::流感嗜血杆菌感染,Disease,Disease,流感嗜血杆菌感染,流感嗜血杆菌感染,流感嗜血杆菌感染,structured,3,{}
Disease::流感嗜血杆菌肺炎,Disease,Disease,流感嗜血杆菌肺炎,流感嗜血杆菌肺炎,流感嗜血杆菌引起的CAP|流感嗜血杆菌肺炎,unstructured,1,{}
Disease::流行性出血热,Disease,Disease,流行性出血热,流行性出血热,流行性出血热,pdf,1,{}
Disease::流行性感冒,Disease,Disease,流行性感冒,流行性感冒,流行性感冒,pdf|structured|unstructured,65,{}
Disease::流行感冒,Disease,Disease,流行感冒,流行感冒,流行感冒,structured,1,{}
Disease::浅下肢皮肤感染,Disease,Disease,浅下肢皮肤感染,浅下肢皮肤感染,浅下肢皮肤感染,pdf,1,{}
Disease::浅层角膜炎,Disease,Disease,浅层角膜炎,浅层角膜炎,浅层角膜炎,structured,1,{}
Disease::浅表真菌感染,Disease,Disease,浅表真菌感染,浅表真菌感染,浅表真菌感染,structured,1,{}
Disease::浸润性肺结核,Disease,Disease,浸润性肺结核,浸润性肺结核,浸润性肺结核,structured,1,{}
Disease::消化不良,Disease,Disease,消化不良,消化不良,消化不良,structured,18,{}
Disease::消化不良性腹泻,Disease,Disease,消化不良性腹泻,消化不良性腹泻,消化不良性腹泻,structured,1,{}
Disease::消化性溃疡,Disease,Disease,消化性溃疡,消化性溃疡,消化性溃疡,pdf|structured|unstructured,19,{}
Disease::消化性溃疡出血,Disease,Disease,消化性溃疡出血,消化性溃疡出血,消化性溃疡出血,structured,2,{}
Disease::消化性溃疡所致幽门狭窄,Disease,Disease,消化性溃疡所致幽门狭窄,消化性溃疡所致幽门狭窄,消化性溃疡所致幽门狭窄,structured,1,{}
Disease::消化系统感染,Disease,Disease,消化系统感染,消化系统感染,消化系统感染,structured,1,{}
Disease::消化系统疾病,Disease,Disease,消化系统疾病,消化系统疾病,消化系统疾病,structured,1,{}
Disease::消化道出血,Disease,Disease,消化道出血,消化道出血,消化道出血,pdf|structured|unstructured,3,{}
Disease::消化道出血病史,Disease,Disease,消化道出血病史,消化道出血病史,消化道出血病史,unstructured,1,{}
Disease::消化道感染,Disease,Disease,消化道感染,消化道感染,消化道感染,structured,5,{}
Disease::消化道憩室炎,Disease,Disease,消化道憩室炎,消化道憩室炎,消化道憩室炎,unstructured,1,{}
Disease::消化道溃疡,Disease,Disease,消化道溃疡,消化道溃疡,消化道溃疡,pdf|structured|unstructured,5,{}
Disease::消化道癌,Disease,Disease,消化道癌,消化道癌,消化道癌,structured,1,{}
Disease::消化道肿瘤,Disease,Disease,消化道肿瘤,消化道肿瘤,消化道肿瘤,structured|unstructured,2,{}
Disease::消渴证,Disease,Disease,消渴证,消渴证,消渴证,pdf,1,{}
Disease::消耗性疾病,Disease,Disease,消耗性疾病,消耗性疾病,伴有蛋白分解的消耗性疾病|消耗性疾病,structured,1,{}
Disease::涎管造影,Disease,Disease,涎管造影,涎管造影,涎管造影,structured,1,{}
Disease::淋巴瘤,Disease,Disease,淋巴瘤,淋巴瘤,淋巴瘤,pdf|structured,4,{}
Disease::淋巴细胞白血病,Disease,Disease,淋巴细胞白血病,淋巴细胞白血病,淋巴细胞白血病,pdf,1,{}
Disease::淋巴结分枝杆菌感染,Disease,Disease,淋巴结分枝杆菌感染,淋巴结分枝杆菌感染,淋巴结分枝杆菌感染,pdf,3,{}
Disease::淋巴结病,Disease,Disease,淋巴结病,淋巴结病,淋巴结病,structured,1,{}
Disease::淋巴结结核,Disease,Disease,淋巴结结核,淋巴结结核,淋巴结结核,structured,1,{}
Disease::淋巴肉瘤,Disease,Disease,淋巴肉瘤,淋巴肉瘤,淋巴肉瘤,structured,1,{}
Disease::淋球菌性尿道炎,Disease,Disease,淋球菌性尿道炎,淋球菌性尿道炎,淋球菌性尿道炎,structured,1,{}
Disease::淋病,Disease,Disease,淋病,淋病,单纯性尿道和宫颈淋病|淋病,pdf|structured,15,{}
Disease::淋病奈瑟菌尿道炎或宫颈炎,Disease,Disease,淋病奈瑟菌尿道炎或宫颈炎,淋病奈瑟菌尿道炎或宫颈炎,淋病奈瑟菌尿道炎或宫颈炎,structured,3,{}
Disease::淋病奈瑟菌性尿道炎,Disease,Disease,淋病奈瑟菌性尿道炎,淋病奈瑟菌性尿道炎,淋病奈瑟菌性尿道炎,structured,3,{}
Disease::淤血症,Disease,Disease,淤血症,淤血症,淤血症,unstructured,1,{}
Disease::深部真菌感染,Disease,Disease,深部真菌感染,深部真菌感染,深部真菌感染,pdf,1,{}
Disease::深部静脉栓塞,Disease,Disease,深部静脉栓塞,深部静脉栓塞,深部静脉栓塞,unstructured,1,{}
Disease::深部静脉血栓形成,Disease,Disease,深部静脉血栓形成,深部静脉血栓形成,深部静脉血栓形成,unstructured,2,{}
Disease::深静脉栓塞,Disease,Disease,深静脉栓塞,深静脉栓塞,深静脉栓塞,unstructured,1,{}
Disease::深静脉血栓,Disease,Disease,深静脉血栓,深静脉血栓,深静脉血栓,pdf|structured|unstructured,10,{}
Disease::深静脉血栓形成,Disease,Disease,深静脉血栓形成,深静脉血栓形成,深静脉血栓形成,pdf|structured|unstructured,7,{}
Disease::混合发作,Disease,Disease,混合发作,混合发作,混合发作,pdf,1,{}
Disease::混合型心绞痛,Disease,Disease,混合型心绞痛,混合型心绞痛,混合型心绞痛,structured,1,{}
Disease::混合型血脂异常,Disease,Disease,混合型血脂异常,混合型血脂异常,混合型血脂异常,unstructured,1,{}
Disease::混合型血脂异常症,Disease,Disease,混合型血脂异常症,混合型血脂异常症,混合型血脂异常症,structured,2,{}
Disease::混合型血脂紊乱,Disease,Disease,混合型血脂紊乱,混合型血脂紊乱,混合型血脂紊乱,structured,1,{}
Disease::混合型高脂血症,Disease,Disease,混合型高脂血症,混合型高脂血症,混合型高脂血症,structured,4,{}
Disease::混合性发作,Disease,Disease,混合性发作,混合性发作,混合性发作,structured,1,{}
Disease::混合性感染,Disease,Disease,混合性感染,混合性感染,混合性感染,pdf,1,{}
Disease::混合性高脂血症,Disease,Disease,混合性高脂血症,混合性高脂血症,混合性高脂血症,pdf|structured,3,{}
Disease::混合感染,Disease,Disease,混合感染,混合感染,混合感染,structured,1,{}
Disease::渐冻症,Disease,Disease,渐冻症,渐冻症,渐冻症,unstructured,3,{}
Disease::温热,Disease,Disease,温热,温热,温热,structured,2,{}
Disease::湿热下注,Disease,Disease,湿热下注,湿热下注,湿热下注,structured,2,{}
Disease::湿热泄泻,Disease,Disease,湿热泄泻,湿热泄泻,湿热泄泻,structured,1,{}
Disease::湿热淋症,Disease,Disease,湿热淋症,湿热淋症,湿热淋症,structured,1,{}
Disease::湿热蕴结所致的泄泻腹痛,Disease,Disease,湿热蕴结所致的泄泻腹痛,湿热蕴结所致的泄泻腹痛,湿热蕴结所致的泄泻腹痛,unstructured,1,{}
Disease::湿疹,Disease,Disease,湿疹,湿疹,湿疹,structured|unstructured,2,{}
Disease::溃疡性结肠炎,Disease,Disease,溃疡性结肠炎,溃疡性结肠炎,溃疡性结肠炎,pdf|structured,12,{}
Disease::溃疡病,Disease,Disease,溃疡病,溃疡病,溃疡病,structured,1,{}
Disease::溃疡面,Disease,Disease,溃疡面,溃疡面,溃疡面,structured,1,{}
Disease::溃疡面感染,Disease,Disease,溃疡面感染,溃疡面感染,溃疡面感染,structured,1,{}
Disease::溶血性贫血,Disease,Disease,溶血性贫血,溶血性贫血,溶血性贫血,structured,1,{}
Disease::溶血性链球菌感染,Disease,Disease,溶血性链球菌感染,溶血性链球菌感染,溶血性链球菌感染,structured,1,{}
Disease::滑囊炎,Disease,Disease,滑囊炎,滑囊炎,滑囊炎,structured,4,{}
Disease::滑膜炎,Disease,Disease,滑膜炎,滑膜炎,滑膜炎,structured,2,{}
Disease::滴虫性阴道炎,Disease,Disease,滴虫性阴道炎,滴虫性阴道炎,滴虫性阴道炎,structured,3,{}
Disease::滴虫病,Disease,Disease,滴虫病,滴虫病,滴虫病,pdf|unstructured,2,{}
Disease::潜伏结核感染,Disease,Disease,潜伏结核感染,潜伏结核感染,潜伏结核感染,pdf,2,{}
Disease::激动,Disease,Disease,激动,激动,激动,structured,2,{}
Disease::激素依赖性前列腺癌,Disease,Disease,激素依赖性前列腺癌,激素依赖性前列腺癌,激素依赖性前列腺癌,structured,1,{}
Disease::激素性活动型性腺癌,Disease,Disease,激素性活动型性腺癌,激素性活动型性腺癌,激素性活动型性腺癌,structured,1,{}
Disease::灼伤,Disease,Disease,灼伤,灼伤,灼伤,structured,1,{}
Disease::炎症,Disease,Disease,炎症,炎症,炎症,structured|unstructured,2,{}
Disease::炎症性疾病,Disease,Disease,炎症性疾病,炎症性疾病,炎症性疾病,structured,1,{}
Disease::炎症性皮肤病,Disease,Disease,炎症性皮肤病,炎症性皮肤病,炎症性皮肤病,unstructured,1,{}
Disease::炎症性肠病,Disease,Disease,炎症性肠病,炎症性肠病,炎症性肠病,pdf,4,{}
Disease::炭疽,Disease,Disease,炭疽,炭疽,炭疽,structured,1,{}
Disease::烟草依赖,Disease,Disease,烟草依赖,烟草依赖,烟草依赖,pdf,1,{}
Disease::烟酸缺乏病,Disease,Disease,烟酸缺乏病,烟酸缺乏病,烟酸缺乏病,structured,1,{}
Disease::烧伤,Disease,Disease,烧伤,烧伤,烧伤,structured,2,{}
Disease::烧伤创面感染,Disease,Disease,烧伤创面感染,烧伤创面感染,烧伤创面感染,structured,1,{}
Disease::烧伤及手术创伤的继发感染,Disease,Disease,烧伤及手术创伤的继发感染,烧伤及手术创伤的继发感染,烧伤及手术创伤的继发感染,structured,1,{}
Disease::烧伤继发创面感染,Disease,Disease,烧伤继发创面感染,烧伤继发创面感染,烧伤继发创面感染,structured,1,{}
Disease::烧烫伤,Disease,Disease,烧烫伤,烧烫伤,烧烫伤,structured,1,{}
Disease::烫伤,Disease,Disease,烫伤,烫伤,烫伤,structured,1,{}
Disease::热性惊厥,Disease,Disease,热性惊厥,热性惊厥,热性惊厥,structured,1,{}
Disease::热毒壅盛,Disease,Disease,热毒壅盛,热毒壅盛,热毒壅盛,structured,1,{}
Disease::热淋涩痛,Disease,Disease,热淋涩痛,热淋涩痛,热淋涩痛,structured,1,{}
Disease::热结便秘,Disease,Disease,热结便秘,热结便秘,热结便秘,structured,1,{}
Disease::焦虑,Disease,Disease,焦虑,焦虑,焦虑,pdf|structured|unstructured,12,{}
Disease::焦虑伴有精神抑郁,Disease,Disease,焦虑伴有精神抑郁,焦虑伴有精神抑郁,焦虑伴有精神抑郁,structured,1,{}
Disease::焦虑性神经症,Disease,Disease,焦虑性神经症,焦虑性神经症,焦虑性神经症,structured,1,{}
Disease::焦虑抑郁症,Disease,Disease,焦虑抑郁症,焦虑抑郁症,焦虑抑郁症,pdf,2,{}
Disease::焦虑状态,Disease,Disease,焦虑状态,焦虑状态,焦虑状态,pdf|unstructured,2,{}
Disease::焦虑症,Disease,Disease,焦虑症,焦虑症,焦虑症,pdf|structured|unstructured,6,{}
Disease::焦虑障碍,Disease,Disease,焦虑障碍,焦虑障碍,焦虑障碍,unstructured,2,{}
Disease::牙周感染,Disease,Disease,牙周感染,牙周感染,牙周感染,structured,1,{}
Disease::牙痛,Disease,Disease,牙痛,牙痛,牙痛,structured,10,{}
Disease::牙髓炎,Disease,Disease,牙髓炎,牙髓炎,牙髓炎,structured,1,{}
Disease::牙龈炎,Disease,Disease,牙龈炎,牙龈炎,牙龈炎,structured,1,{}
Disease::牛痘病毒性角膜炎,Disease,Disease,牛痘病毒性角膜炎,牛痘病毒性角膜炎,牛痘病毒性角膜炎,structured,1,{}
Disease::特发性原发性血色病,Disease,Disease,特发性(原发性)血色病,特发性原发性血色病,特发性(原发性)血色病,structured,1,{}
Disease::特发性急性脂肪肝,Disease,Disease,特发性急性脂肪肝,特发性急性脂肪肝,特发性急性脂肪肝,pdf,1,{}
Disease::特发性月经过多,Disease,Disease,特发性月经过多,特发性月经过多,特发性月经过多,unstructured,1,{}
Disease::特发性水肿,Disease,Disease,特发性水肿,特发性水肿,特发性水肿,structured,1,{}
Disease::特发性肺动脉高压,Disease,Disease,特发性肺动脉高压,特发性肺动脉高压,特发性肺动脉高压,pdf,1,{}
Disease::特发性肺纤维化,Disease,Disease,特发性肺纤维化,特发性肺纤维化,特发性肺纤维化,pdf|structured,2,{}
Disease::特发性震颤,Disease,Disease,特发性震颤,特发性震颤,特发性震颤,pdf,1,{}
Disease::特发性高铁血红蛋白血症,Disease,Disease,特发性高铁血红蛋白血症,特发性高铁血红蛋白血症,特发性高铁血红蛋白血症,structured,1,{}
Disease::特应性皮炎,Disease,Disease,特应性皮炎,特应性皮炎,特应性皮炎,pdf|structured,5,{}
Disease::特殊原因造成的白血病,Disease,Disease,特殊原因造成的白血病,特殊原因造成的白血病,特殊原因造成的白血病,structured,1,{}
Disease::特纳氏综合征,Disease,Disease,特纳氏综合征,特纳氏综合征,特纳氏综合征,structured,1,{}
Disease::犬肺炎球菌性脑膜炎,Disease,Disease,犬肺炎球菌性脑膜炎,犬肺炎球菌性脑膜炎,犬肺炎球菌性脑膜炎,pdf,1,{}
Disease::狂犬病,Disease,Disease,狂犬病,狂犬病,狂犬病,structured,1,{}
Disease::狼疮性肾炎,Disease,Disease,狼疮性肾炎,狼疮性肾炎,狼疮性肾炎,pdf,1,{}
Disease::猩红热,Disease,Disease,猩红热,猩红热,猩红热,pdf|structured,5,{}
Disease::猪喘气病,Disease,Disease,猪喘气病,猪喘气病,猪喘气病,unstructured,1,{}
Disease::猪巴氏杆菌病,Disease,Disease,猪巴氏杆菌病,猪巴氏杆菌病,猪巴氏杆菌病,unstructured,2,{}
Disease::猪链球菌病,Disease,Disease,猪链球菌病,猪链球菌病,猪链球菌病,unstructured,2,{}
Disease::玫瑰糠疹,Disease,Disease,玫瑰糠疹,玫瑰糠疹,玫瑰糠疹,pdf,2,{}
Disease::环形肉芽肿,Disease,Disease,环形肉芽肿,环形肉芽肿,环形肉芽肿,structured,1,{}
Disease::玻璃体浑浊,Disease,Disease,玻璃体浑浊,玻璃体浑浊,玻璃体浑浊,structured,2,{}
Disease::玻璃体混浊,Disease,Disease,玻璃体混浊,玻璃体混浊,玻璃体混浊,structured,1,{}
Disease::球孢子菌病,Disease,Disease,球孢子菌病,球孢子菌病,球孢子菌病,pdf,1,{}
Disease::球孢子菌脑膜炎,Disease,Disease,球孢子菌脑膜炎,球孢子菌脑膜炎,球孢子菌脑膜炎,pdf,1,{}
Disease::瓣膜性心脏病,Disease,Disease,瓣膜性心脏病,瓣膜性心脏病,瓣膜性心脏病,structured,3,{}
Disease::瓣膜性房颤,Disease,Disease,瓣膜性房颤,瓣膜性房颤,瓣膜性房颤,unstructured,2,{}
Disease::瓣膜病,Disease,Disease,瓣膜病,瓣膜病,瓣膜病,pdf,1,{}
Disease::瓦尔登斯特伦氏巨球蛋白血症,Disease,Disease,瓦尔登斯特伦氏巨球蛋白血症,瓦尔登斯特伦氏巨球蛋白血症,瓦尔登斯特伦氏巨球蛋白血症,unstructured,1,{}
Disease::生殖器官感染,Disease,Disease,生殖器官感染,生殖器官感染,生殖器官感染,structured,1,{}
Disease::生殖器疱疹,Disease,Disease,生殖器疱疹,生殖器疱疹,生殖器疱疹,structured,1,{}
Disease::生殖器疱疹病毒感染,Disease,Disease,生殖器疱疹病毒感染,生殖器疱疹病毒感染,生殖器疱疹病毒感染,structured,1,{}
Disease::生殖系统感染,Disease,Disease,生殖系统感染,生殖系统感染,生殖系统感染,structured,4,{}
Disease::生殖系统炎症,Disease,Disease,生殖系统炎症,生殖系统炎症,生殖系统有炎症疾病|生殖系统炎症,structured,1,{}
Disease::生殖道感染,Disease,Disease,生殖道感染,生殖道感染,生殖道感染,structured,1,{}
Disease::生长发育迟缓,Disease,Disease,生长发育迟缓,生长发育迟缓,儿童生长发育迟缓|生长发育迟缓,structured,2,{}
Disease::生长激素释放因子瘤,Disease,Disease,生长激素释放因子瘤,生长激素释放因子瘤,生长激素释放因子瘤,structured,2,{}
Disease::甲亢,Disease,Disease,甲亢,甲亢,甲亢,pdf|unstructured,4,{}
Disease::甲型流感,Disease,Disease,甲型流感,甲型流感,甲型流感,structured,3,{}
Disease::甲型肝炎,Disease,Disease,甲型肝炎,甲型肝炎,甲型肝炎,structured,2,{}
Disease::甲状旁腺功能低下,Disease,Disease,甲状旁腺功能低下,甲状旁腺功能低下,甲状旁腺功能低下,structured,1,{}
Disease::甲状旁腺功能减退症,Disease,Disease,甲状旁腺功能减退症,甲状旁腺功能减退症,甲状旁腺功能减退症,structured,1,{}
Disease::甲状腺亢进危象,Disease,Disease,甲状腺亢进危象,甲状腺亢进危象,甲状腺亢进危象,structured,1,{}
Disease::甲状腺出血,Disease,Disease,甲状腺出血,甲状腺出血,甲状腺出血,structured,4,{}
Disease::甲状腺功能亢进,Disease,Disease,甲状腺功能亢进,甲状腺功能亢进,甲状腺功能亢进,pdf|structured,6,{}
Disease::甲状腺功能亢进症,Disease,Disease,甲状腺功能亢进症,甲状腺功能亢进症,甲状腺功能亢进症,structured|unstructured,5,{}
Disease::甲状腺功能低下,Disease,Disease,甲状腺功能低下,甲状腺功能低下,甲状腺功能低下,pdf,2,{}
Disease::甲状腺功能减退,Disease,Disease,甲状腺功能减退,甲状腺功能减退,甲状腺功能减退,pdf|unstructured,18,{}
Disease::甲状腺功能减退症,Disease,Disease,甲状腺功能减退症,甲状腺功能减退症,甲减|甲状腺功能减退症,pdf|unstructured,6,{}
Disease::甲状腺功能异常,Disease,Disease,甲状腺功能异常,甲状腺功能异常,甲状腺功能异常,pdf,1,{}
Disease::甲状腺危象,Disease,Disease,甲状腺危象,甲状腺危象,甲状腺危象,structured,1,{}
Disease::甲状腺手术出血,Disease,Disease,甲状腺手术出血,甲状腺手术出血,甲状腺手术出血,structured,1,{}
Disease::甲状腺机能不足,Disease,Disease,甲状腺机能不足,甲状腺机能不足,甲状腺机能不足,pdf,1,{}
Disease::甲状腺机能亢进,Disease,Disease,甲状腺机能亢进,甲状腺机能亢进,甲状腺机能亢进,pdf|structured|unstructured,12,{}
Disease::甲状腺机能亢进症,Disease,Disease,甲状腺机能亢进症,甲状腺机能亢进症,甲状腺机能亢进症,structured,1,{}
Disease::甲状腺机能低下,Disease,Disease,甲状腺机能低下,甲状腺机能低下,甲状腺机能低下,pdf,1,{}
Disease::甲状腺机能减退,Disease,Disease,甲状腺机能减退,甲状腺机能减退,甲状腺机能减退,pdf,3,{}
Disease::甲状腺疾病,Disease,Disease,甲状腺疾病,甲状腺疾病,甲状腺疾病,pdf,1,{}
Disease::甲状腺癌,Disease,Disease,甲状腺癌,甲状腺癌,甲状腺癌,pdf|unstructured,4,{}
Disease::甲状腺肿,Disease,Disease,甲状腺肿,甲状腺肿,甲状腺肿,unstructured,1,{}
Disease::甲癣,Disease,Disease,甲癣,甲癣,甲癣,unstructured,2,{}
Disease::电解质失衡,Disease,Disease,电解质失衡,电解质失衡,电解质失衡,structured,1,{}
Disease::电解质紊乱,Disease,Disease,电解质紊乱,电解质紊乱,电解质紊乱,pdf|structured|unstructured,4,{}
Disease::男子女性化乳房,Disease,Disease,男子女性化乳房,男子女性化乳房,男子女性化乳房,structured,1,{}
Disease::男性勃起功能障碍,Disease,Disease,男性勃起功能障碍,男性勃起功能障碍,男性勃起功能障碍,structured,2,{}
Disease::男性性功能低减,Disease,Disease,男性性功能低减,男性性功能低减,原发性或继发性男性性功能低减|男性性功能低减,structured,1,{}
Disease::男性性欲倒错,Disease,Disease,男性性欲倒错,男性性欲倒错,男性性欲倒错,structured,1,{}
Disease::男性性腺功能减退症,Disease,Disease,男性性腺功能减退症,男性性腺功能减退症,男性性腺功能减退症,structured,1,{}
Disease::男性更年期,Disease,Disease,男性更年期,男性更年期,男性更年期|男性更年期症状,structured,1,{}
Disease::男性淋球菌性尿路炎症,Disease,Disease,男性淋球菌性尿路炎症,男性淋球菌性尿路炎症,男性淋球菌性尿路炎症,structured,1,{}
Disease::男性淋球菌性尿路炎症或直肠感染,Disease,Disease,男性淋球菌性尿路炎症或直肠感染,男性淋球菌性尿路炎症或直肠感染,男性淋球菌性尿路炎症或直肠感染,structured,4,{}
Disease::男性阴茎勃起功能障碍,Disease,Disease,男性阴茎勃起功能障碍,男性阴茎勃起功能障碍,男性阴茎勃起功能障碍,structured,1,{}
Disease::男性青春期发育迟缓,Disease,Disease,男性青春期发育迟缓,男性青春期发育迟缓,男性青春期发育迟缓,structured,1,{}
Disease::疑病,Disease,Disease,疑病,疑病,疑病,pdf,1,{}
Disease::疖,Disease,Disease,疖,疖,疖,structured,1,{}
Disease::疖肿,Disease,Disease,疖肿,疖肿,疖肿,structured,1,{}
Disease::疟疾,Disease,Disease,疟疾,疟疾,疟疾,structured|unstructured,2,{}
Disease::疮疡肿痛,Disease,Disease,疮疡肿痛,疮疡肿痛,疮疡肿痛,unstructured,1,{}
Disease::疱疹,Disease,Disease,疱疹,疱疹,疱疹,pdf,1,{}
Disease::疱疹后神经痛,Disease,Disease,疱疹后神经痛,疱疹后神经痛,疱疹后神经痛,unstructured,1,{}
Disease::疱疹性湿疹,Disease,Disease,疱疹性湿疹,疱疹性湿疹,疱疹性湿疹,structured,1,{}
Disease::疱疹样皮炎,Disease,Disease,疱疹样皮炎,疱疹样皮炎,疱疹样皮炎,structured,1,{}
Disease::疼痛,Disease,Disease,疼痛,疼痛,疼痛|轻至中度疼痛,structured|unstructured,9,{}
Disease::疼痛性糖尿病神经病变,Disease,Disease,疼痛性糖尿病神经病变,疼痛性糖尿病神经病变,疼痛性糖尿病神经病变,unstructured,1,{}
Disease::疼痛性肌痉挛,Disease,Disease,疼痛性肌痉挛,疼痛性肌痉挛,疼痛性肌痉挛,structured,2,{}
Disease::疼痛性骨关节炎,Disease,Disease,疼痛性骨关节炎,疼痛性骨关节炎,疼痛性骨关节炎,structured,1,{}
Disease::病后虚弱,Disease,Disease,病后虚弱,病后虚弱,病后虚弱,structured,2,{}
Disease::病态窦房结综合征,Disease,Disease,病态窦房结综合征,病态窦房结综合征,病态窦房结综合征|病窦综合征,pdf,2,{}
Disease::病毒性上呼吸道感染,Disease,Disease,病毒性上呼吸道感染,病毒性上呼吸道感染,病毒性上呼吸道感染,structured,2,{}
Disease::病毒性心肌炎,Disease,Disease,病毒性心肌炎,病毒性心肌炎,病毒性心肌炎,pdf|structured|unstructured,3,{}
Disease::病毒性肝损害,Disease,Disease,病毒性肝损害,病毒性肝损害,病毒性肝损害,structured,1,{}
Disease::病毒性肝炎,Disease,Disease,病毒性肝炎,病毒性肝炎,急、慢性病毒性肝炎|急慢性病毒性肝炎|病毒性肝炎,pdf|structured,7,{}
Disease::病毒性肝病,Disease,Disease,病毒性肝病,病毒性肝病,病毒性肝病,structured,1,{}
Disease::病毒性肠炎,Disease,Disease,病毒性肠炎,病毒性肠炎,病毒性肠炎,pdf,1,{}
Disease::病毒性肺炎,Disease,Disease,病毒性肺炎,病毒性肺炎,病毒性肺炎,pdf|structured,7,{}
Disease::病毒感染,Disease,Disease,病毒感染,病毒感染,病毒感染,pdf,1,{}
Disease::病理性胃酸分泌过多,Disease,Disease,病理性胃酸分泌过多,病理性胃酸分泌过多,病理性胃酸分泌过多,pdf,1,{}
Disease::病窦综合征,Disease,Disease,病窦综合征,病窦综合征,病窦综合征,pdf,1,{}
Disease::症状性低血压,Disease,Disease,症状性低血压,症状性低血压,症状性低血压,structured,1,{}
Disease::症状性动脉粥样硬化性疾病,Disease,Disease,症状性动脉粥样硬化性疾病,症状性动脉粥样硬化性疾病,症状性动脉粥样硬化性疾病,structured,2,{}
Disease::症状性癫,Disease,Disease,症状性癫,症状性癫,症状性癫,pdf,1,{}
Disease::症状性癫痫,Disease,Disease,症状性癫痫,症状性癫痫,症状性癫痫,pdf,3,{}
Disease::痈,Disease,Disease,痈,痈,痈,structured,1,{}
Disease::痈肿疮疡,Disease,Disease,痈肿疮疡,痈肿疮疡,痈肿疮疡,structured,1,{}
Disease::痔,Disease,Disease,痔,痔,痔,structured,1,{}
Disease::痔疮,Disease,Disease,痔疮,痔疮,痔疮,structured|unstructured,2,{}
Disease::痛经,Disease,Disease,痛经,痛经,痛经,pdf|structured|unstructured,10,{}
Disease::痛风,Disease,Disease,痛风,痛风,痛风,pdf|structured|unstructured,35,{}
Disease::痛风发作,Disease,Disease,痛风发作,痛风发作,痛风发作,structured,1,{}
Disease::痛风急性发作,Disease,Disease,痛风急性发作,痛风急性发作,痛风急性发作,structured,1,{}
Disease::痛风急性发作期,Disease,Disease,痛风急性发作期,痛风急性发作期,痛风急性发作期,structured,1,{}
Disease::痛风性关节炎,Disease,Disease,痛风性关节炎,痛风性关节炎,痛风性关节炎|痛风性关节炎的急性发作,structured,3,{}
Disease::痛风性关节炎急性发作,Disease,Disease,痛风性关节炎急性发作,痛风性关节炎急性发作,痛风性关节炎急性发作,structured,1,{}
Disease::痛风性急性关节炎,Disease,Disease,痛风性急性关节炎,痛风性急性关节炎,痛风性急性关节炎,pdf,1,{}
Disease::痛风石,Disease,Disease,痛风石,痛风石,痛风石,structured,2,{}
Disease::痢疾,Disease,Disease,痢疾,痢疾,痢疾,structured,1,{}
Disease::痤疮,Disease,Disease,痤疮,痤疮,痤疮,structured|unstructured,4,{}
Disease::痰气结实证,Disease,Disease,痰气结实证,痰气结实证,痰气结实证,unstructured,1,{}
Disease::痰液粘稠,Disease,Disease,痰液粘稠,痰液粘稠,痰液粘稠,structured,1,{}
Disease::痰热内阻,Disease,Disease,痰热内阻,痰热内阻,痰热内阻,structured,1,{}
Disease::痰热咳嗽,Disease,Disease,痰热咳嗽,痰热咳嗽,痰热咳嗽,structured,1,{}
Disease::痰热壅肺,Disease,Disease,痰热壅肺,痰热壅肺,痰热壅肺,structured,1,{}
Disease::痱子,Disease,Disease,痱子,痱子,痱子,structured,1,{}
Disease::痴呆,Disease,Disease,痴呆,痴呆,痴呆,pdf|structured,5,{}
Disease::瘀血痹阻型冠心病,Disease,Disease,瘀血痹阻型冠心病,瘀血痹阻型冠心病,瘀血痹阻型冠心病,pdf,1,{}
Disease::瘀血阻滞,Disease,Disease,瘀血阻滞,瘀血阻滞,瘀血阻滞,structured,1,{}
Disease::瘀血阻络,Disease,Disease,瘀血阻络,瘀血阻络,瘀血阻络,structured,1,{}
Disease::瘘管造影,Disease,Disease,瘘管造影,瘘管造影,瘘管造影,structured,1,{}
Disease::瘙痒性皮肤病,Disease,Disease,瘙痒性皮肤病,瘙痒性皮肤病,瘙痒性皮肤病,structured,3,{}
Disease::瘙痒症,Disease,Disease,瘙痒症,瘙痒症,瘙痒症,pdf,1,{}
Disease::癃闭,Disease,Disease,癃闭,癃闭,癃闭|肾气不足、湿热瘀阻所致的癃闭,structured,1,{}
Disease::癌性疼痛,Disease,Disease,癌性疼痛,癌性疼痛,癌性疼痛,structured,1,{}
